name,link,cost for 2,cuisines,ratings,reviews,address
"taste south Restaurant, Maltekedi",https://www.zomato.com/amravati/taste-of-south-maltekedi,200,"North Indian, South Indian",4.1,22," N D Foods, Rachana Dreams Apartment, Shop No.1 - 6, Amravati Camp, Amravati - 444602, Near Circuit House, Maltekedi, Amravati"
"swadishtam restaurant Restaurant, Ambapeth",https://www.zomato.com/amravati/swadishtam-restaurant-ambapeth,200,"South Indian, North Indian, Chinese",3.4,24," old cotton market, amravati, Ambapeth, Amravati"
"kanhaiya kunj Restaurant, Sai Nagar",https://www.zomato.com/amravati/kanhaiya-kunj-sai-nagar,400,"North Indian, Maharashtrian",4.5,19," Back Side D Mart, Mahesh Nagar, Sai Nagar, Amravati 444601"
"laziz pizza saturna Restaurant, Sai Nagar",https://www.zomato.com/amravati/laziz-pizza-saturna-sai-nagar,200,"Sandwich, Pizza, Fast Food, Drinks Only, Coffee, Burger, Cafe, Desserts",3.4,8," Near Nexa Showroom, Opposite Aspa Bandson Motors, Badnera Road, Saturna, Sai Nagar, Amravati"
"raj restaurant Restaurant, Ambapeth",https://www.zomato.com/amravati/raj-restaurant-ambapeth,,"North Indian, South Indian, Fast Food, Chinese",4.1,16," Badnera Road, Rajapeth Chowk, Ambapeth, Amravati"
"purnabramha Restaurant, Ambapeth",https://www.zomato.com/amravati/purnabramha-ambapeth,,"North Indian, Maharashtrian",3.6,18," Bandnera road, near Dominos, Ambapeth, Amravati"
"biryani house Restaurant, Navsaari",https://www.zomato.com/amravati/biryani-house-navsaari,,Biryani,3.5,15," Near shegaon naka, Amravati, Navsaari, Amravati"
"biryani bhai Restaurant, Ambapeth",https://www.zomato.com/amravati/biryani-bhai-ambapeth,300,"North Indian, Maharashtrian, Indian, Biryani",3.7,8," Itwara bazar back side of Amarsoda factory amravati, Ambapeth, Amravati"
"sukh sagar fast food restaurant Restaurant, Ambapeth",https://www.zomato.com/amravati/sukh-sagar-fast-food-and-restaurant-ambapeth,300,North Indian,3.6,7," Sukh Sagar, Shyam Square, Amravati - 444601, Near City Kotwali, Ambapeth, Amravati"
"khamang chopatiyashika chinese Restaurant, Sai Nagar",https://www.zomato.com/amravati/khamang-chopatiyashika-chinese-sai-nagar,200,"Fast Food, Chinese",3.8,6," Khamang Chopati, Near D Mart, Sai Nagar, Amravati"
